Generation N Sum GN.F GN.M PN2.F PN2.M Program Trait value Population h2 rep
20 1500 0.453497252750788 0.477747719843798 -0.0242504670930107 0 0 PN2 T1 Ebv GN2 0.25 0
21 6000 0.263964225661825 0.718071663007888 -0.454107437346063 0 0 PN2 T1 Ebv GN2 0.25 0
22 6000 0.730507014294253 1.65692620130423 -0.926419187009978 0 0 PN2 T1 Ebv GN2 0.25 0
23 6000 1.43957753802004 2.46176623707159 -1.02218869905155 0 0 PN2 T1 Ebv GN2 0.25 0
24 6000 2.12116216462896 3.22642896612834 -1.10526680149938 0 0 PN2 T1 Ebv GN2 0.25 0
25 6000 2.89531429610333 3.97906385340205 -1.08374955729872 0 0 PN2 T1 Ebv GN2 0.25 0
26 6000 3.63546174267066 4.80113332163369 -1.16567157896303 0 0 PN2 T1 Ebv GN2 0.25 0
27 6000 4.16172906219025 5.57081455200297 -1.40908548981272 0 0 PN2 T1 Ebv GN2 0.25 0
28 6000 4.69403381929913 6.33937984848115 -1.64534602918203 0 0 PN2 T1 Ebv GN2 0.25 0
29 6000 5.33950116553368 6.76412529077805 -1.42462412524437 0 0 PN2 T1 Ebv GN2 0.25 0
30 6000 5.82288679622288 7.3206294274589 -1.49774263123602 0 0 PN2 T1 Ebv GN2 0.25 0
31 6000 6.13436629131826 8.11430577516019 -1.97993948384193 0 0 PN2 T1 Ebv GN2 0.25 0
32 6000 6.82059627024352 8.9160082614802 -2.09541199123667 0 0 PN2 T1 Ebv GN2 0.25 0
33 6000 7.27443291200853 9.6340590322331 -2.35962612022458 0 0 PN2 T1 Ebv GN2 0.25 0
34 6000 7.55676184493109 10.1790402628978 -2.62227841796669 0 0 PN2 T1 Ebv GN2 0.25 0
35 6000 7.95051780678884 10.8352128160453 -2.88469500925651 0 0 PN2 T1 Ebv GN2 0.25 0
36 6000 8.32493185338407 11.1719515337487 -2.84701968036459 0 0 PN2 T1 Ebv GN2 0.25 0
37 6000 8.6506403682282 11.6558479550943 -3.00520758686614 0 0 PN2 T1 Ebv GN2 0.25 0
38 6000 9.0030057973556 12.0419128727895 -3.03890707543385 0 0 PN2 T1 Ebv GN2 0.25 0
39 6000 9.29900408020253 12.3688930602103 -3.06988898000778 0 0 PN2 T1 Ebv GN2 0.25 0
40 6000 9.57538239304237 12.6966408754737 -3.12125848243135 0 0 PN2 T1 Ebv GN2 0.25 0
20 1500 -0.0959698186064732 0.00851030990690511 -0.104480128513378 0 0 PN2 T1 Tbv GN2 0.25 0
21 6000 0.658635373139548 0.20616393905078 0.452471434088768 0 0 PN2 T1 Tbv GN2 0.25 0
22 6000 1.14367568684777 0.45844168327187 0.685234003575903 0 0 PN2 T1 Tbv GN2 0.25 0
23 6000 1.84783104169828 0.756160279875005 1.09167076182327 0 0 PN2 T1 Tbv GN2 0.25 0
24 6000 2.5284563682019 1.05850841110056 1.46994795710135 0 0 PN2 T1 Tbv GN2 0.25 0
25 6000 3.24906409423174 1.27626241541009 1.97280167882165 0 0 PN2 T1 Tbv GN2 0.25 0
26 6000 3.99512690739145 1.69700927536631 2.29811763202514 0 0 PN2 T1 Tbv GN2 0.25 0
27 6000 4.56576336172401 1.96498816116356 2.60077520056045 0 0 PN2 T1 Tbv GN2 0.25 0
28 6000 5.08619102937601 2.16763029875362 2.91856073062239 0 0 PN2 T1 Tbv GN2 0.25 0
29 6000 5.72520934587416 2.26684866297256 3.4583606829016 0 0 PN2 T1 Tbv GN2 0.25 0
30 6000 6.22621402549283 2.46785130040008 3.75836272509275 0 0 PN2 T1 Tbv GN2 0.25 0
31 6000 6.5218934881487 2.61115385214735 3.91073963600136 0 0 PN2 T1 Tbv GN2 0.25 0
32 6000 7.16499492133416 2.85826106805244 4.30673385328172 0 0 PN2 T1 Tbv GN2 0.25 0
33 6000 7.69099772827884 3.03004972098864 4.66094800729021 0 0 PN2 T1 Tbv GN2 0.25 0
34 6000 7.90910861694445 3.14184814141133 4.76726047553312 0 0 PN2 T1 Tbv GN2 0.25 0
35 6000 8.34287298051417 3.41252490640825 4.93034807410592 0 0 PN2 T1 Tbv GN2 0.25 0
36 6000 8.75611249785169 3.43320800016301 5.32290449768867 0 0 PN2 T1 Tbv GN2 0.25 0
37 6000 9.05003015288193 3.58793832566127 5.46209182722066 0 0 PN2 T1 Tbv GN2 0.25 0
38 6000 9.42385126558206 3.71750750171178 5.70634376387028 0 0 PN2 T1 Tbv GN2 0.25 0
39 6000 9.69084783177022 3.81314945158373 5.87769838018649 0 0 PN2 T1 Tbv GN2 0.25 0
40 6000 9.96563040046325 3.95310360481772 6.01252679564553 0 0 PN2 T1 Tbv GN2 0.25 0
20 4500 -0.151165750916929 0 0 -0.146830399342132 -0.00433535157479701 PN2 T1 Ebv PN2 0.25 0
22 9000 0.184963630736183 0.287279106055677 -0.589728576107592 0.0220617304542053 0.465351370333894 PN2 T1 Ebv PN2 0.25 0
23 9000 1.0852132991711 0.64149578301743 -0.632887878825867 0.430626565485687 0.645978829493852 PN2 T1 Ebv PN2 0.25 0
24 9000 1.81275526579355 1.044442860923 -0.790881537135212 1.10473875700469 0.454455185001074 PN2 T1 Ebv PN2 0.25 0
25 9000 2.44119150948658 1.63335438040234 -0.838833674217204 1.28187790088263 0.364792902418809 PN2 T1 Ebv PN2 0.25 0
26 9000 3.06971932521275 2.36869461786588 -1.00777731755033 1.31960530677535 0.389196718121839 PN2 T1 Ebv PN2 0.25 0
27 9000 3.67386039474586 3.06839624922947 -1.18030761839219 1.51920773002824 0.26656403388033 PN2 T1 Ebv PN2 0.25 0
28 9000 4.18591819491231 3.84973904784644 -1.28173263504162 1.37760133147074 0.240310450636745 PN2 T1 Ebv PN2 0.25 0
